第 86
套间 屋里
屋里 宝玉
宝玉 回到
回到 自己
自己 房中
房中 换
换 了
了 衣裳
衣裳 忽然
忽然 想起
想起 蒋玉函
蒋玉函 给
给 的
的 汗巾
汗巾 便
便 向
向 袭人
袭人 道
道 你
你 那
那 一年
一年 没有
没有 系
系 的
的 那条
那条 红
红 汗巾
汗巾 子
子 还有
还有 没有
没有 袭人
袭人 道
道 我
我 搁着
搁着 呢
呢 问
问 他
他 做
做 什么
什么 宝玉
宝玉 道
道 我白
我白 问问
问问 袭人
袭人 道
道 你
你 没有
没有 听见
听见 薛大爷
薛大爷 相与
相与 这些
这些 混帐
混帐 人
人 所以
所以 闹
闹 到
到 人
人 命关
命关 天
天 你
你 还
还 提
提 那些
那些 做
做 什么
什么 有
有 这样
这样 白
白 操心
操心 倒不如
倒不如 静静
静静 儿
儿 的
的 念念
念念 书
书 把
把 这些
这些 个
个 没
没 要紧
要紧 的
的 事
事 撂
撂 开了
开了 也好
也好 宝玉
宝玉 道
道 我
我 并不
并不 闹
闹 什么
什么 偶然
偶然 想起
想起 有
有 也罢
也罢 没
没 也罢
也罢 我白
我白 问
问 一声
一声 你们
你们 就
就 有
有 这些
这些 话
话 袭人
袭人 笑道
笑道 并
并 不是
不是 我多话
我多话 一个人
一个人 知书达礼
知书达礼 就
就 该
该 往
往 上
上 巴结
巴结 才
才 是
是 就是
就是 心爱
心爱 的
的 人
人 来了
来了 也
也 叫
叫 他
他 瞧
瞧 着
着 喜欢
喜欢 尊敬
尊敬 啊
啊 宝玉
宝玉 被
被 袭人
袭人 一提
一提 便
便 说
说 了不得
了不得 方才
方才 我
我 在
在 老太太
老太太 那边
那边 看见
看见 人多
人多 没有
没有 和
和 林妹妹
林妹妹 说话
说话 他
他 也
也 不曾
不曾 理
理 我
我 散
散 的
的 时候
时候 他
他 先
先 走
走 了
了 此时
此时 必在
必在 屋里
屋里 我
我 去
去 就
就 来
来 说着
说着 就
就 走
走 袭人
袭人 道
道 快些
快些 回来
回来 罢
罢 这
这 都是
都是 我
我 提
提 头儿
头儿 倒
倒 招起
招起 你
你 的
的 高兴
高兴 来了
来了 宝玉
宝玉 也
也 不
不 答言
答言 低着头
低着头 一径
一径 走到
走到 潇湘
潇湘 馆来
馆来 只见
只见 黛玉
黛玉 靠
靠 在
在 桌上
桌上 看书
看书 宝玉
宝玉 走
走 到
到 跟前
跟前 笑
笑 说道
说道 妹妹
妹妹 早
早 回来
回来 了
了 黛玉
黛玉 也
也 笑道
笑道 你
你 不理
不理 我
我 我
我 还
还 在
在 那里
那里 做什
做什 么
么 宝玉
宝玉 一面
一面 笑
笑 说
说 他们
他们 人多
人多 说话
说话 我
我 插
插 不下
不下 嘴去
嘴去 所以
所以 没有
没有 和
和 你
你 说话
说话 一面
一面 瞧
瞧 着
着 黛玉
黛玉 看
看 的
的 那本书
那本书 书上
书上 的
的 字
字 一个
一个 也
也 不
不 认得
认得 有的
有的 像
像 芍
芍 字
字 有的
有的 像
像 茫
茫 字
字 也有
也有 一个
一个 大
大 字
字 旁边
旁边 九
九 字
字 加上
加上 一勾
一勾 中间
中间 又
又 添个
添个 五
五 字
字 也有
也有 上头
上头 五
五 字
字 六
六 字
字 又
又 添
添 一个
一个 木
木 字
字 底下
底下 又是
又是 一个
一个 五
五 字
字 看着
看着 又
又 奇怪
奇怪 又
又 纳闷
纳闷 便
便 说
说 妹妹
妹妹 近日
近日 越发
越发 进
进 了
了 看
看 起
起 天书
天书 来了
来了 黛玉
黛玉 嗤
嗤 的
的 一声
一声 笑道
笑道 好
好 个
个 念书
念书 的
的 人
人 连
连 个
个 琴谱
琴谱 都
都 没有
没有 见过
见过 宝玉
宝玉 道
道 琴谱
琴谱 怎么
怎么 不
不 知道
知道 为什么
为什么 上头
上头 的
的 字
字 一个
一个 也
也 不
不 认得
认得 妹妹
妹妹 你
你 认得
认得 么
么 黛玉
黛玉 道
道 不
不 认得
认得 瞧
瞧 他
他 做
做 什么
什么 宝玉
宝玉 道
道 我
我 不信
不信 从没
从没 有
有 听见
听见 你
你 会
会 抚琴
抚琴 我们
我们 书房
书房 里
里 挂
挂 着
着 好几张
好几张 前年
前年 来了
来了 一个
一个 清客
清客 先生
先生 叫做
叫做 什么
什么 嵇好
嵇好 古
古 老爷
老爷 烦
烦 他
他 抚
抚 了
了 一曲
一曲 他
他 取下
取下 琴来
琴来 说
说 都
都 使不得
使不得 还说
还说 老先生
老先生 若
若 高兴
高兴 改日
改日 携琴来
携琴来 请教
请教 想
想 是
是 我们
我们 老爷
老爷 也
也 不
不 懂
懂 他
他 便
便 不
不 来了
来了 怎么
怎么 你
你 有
有 本事
本事 藏
藏 着
着 黛玉
黛玉 道
道 我
我 何尝
何尝 真会
真会 呢
呢 前日
前日 身上
身上 略觉
略觉 舒服
舒服 在
在 大
大 书架上
书架上 翻书
翻书 看
看 有
有 一套
一套 琴谱
琴谱 甚有
甚有 雅趣
雅趣 上头
上头 讲的
讲的 琴理
琴理 甚通
甚通 手法
手法 说的
说的 也
也 明白
明白 真是
真是 古人
古人 静心
静心 养性
养性 的
的 工夫
工夫 我
我 在
在 扬州
扬州 也
也 听
听 得
得 讲究
讲究 过
过 也
也 曾
曾 学过
学过 只是
只是 不
不 弄
弄 了
了 就
就 没有
没有 了
了 这
这 果真
果真 是
是 三日
三日 不弹
不弹 手生
手生 荆棘
荆棘 前日
前日 看
看 这
这 几篇
几篇 没有
没有 曲文
曲文 只有
只有 操名
操名 我
我 又到
又到 别处
别处 找
找 了
了 一本
一本 有曲文
有曲文 的
的 来
来 看着
看着 才
才 有
有 意思
意思 究竟
究竟 怎么
怎么 弹
弹 的
的 好
好 实在
实在 也
也 难
难 书上
书上 说的
说的 师旷
师旷 鼓琴
鼓琴 能
能 来
来 风雷
风雷 龙凤
龙凤 孔
孔 圣人
圣人 尚学琴于
尚学琴于 师襄
师襄 一操
一操 便知
便知 其为
其为 文王
文王 高山流水
高山流水 得遇
得遇 知音
知音 说
说 到
到 这里
这里 眼皮儿
眼皮儿 微
微 微
微 一动
一动 慢慢
慢慢 的
的 低下头去
低下头去 宝玉
宝玉 正听得
正听得 高兴
高兴 便道
便道 好
好 妹妹
妹妹 你
你 才
才 说的
说的 实在
实在 有趣
有趣 只是
只是 我
我 才
才 见
见 上头
上头 的
的 字
字 都
都 不
不 认得
认得 你
你 教
教 我
我 几个
几个 呢
呢 黛玉
黛玉 道
道 不用
不用 教
教 的
的 一说
一说 便
便 可以
可以 知道
知道 的
的 宝玉
宝玉 道
道 我
我 是
是 个
个 糊涂人
糊涂人 得教
得教 我
我 那个
那个 大
大 字加
字加 一
一 勾
勾 中间
中间 一个
一个 五
五 字
字 的
的 黛玉
黛玉 笑道
笑道 这
这 大
大 字
字 九
九 字
字 是
是 用
用 左手
左手 大拇指
大拇指 按琴
按琴 上
上 的
的 九徽
九徽 这一
这一 勾加
勾加 五
五 字
字 是
是 右手
右手 钩
钩 五弦
五弦 并
并 不是
不是 一个
一个 字
字 乃是
乃是 一声
一声 是
是 极容易
极容易 的
的 还有
还有 吟
吟 揉
揉 绰
绰 注
注 撞
撞 走
走 飞
飞 推等法
推等法 是
是 讲究
讲究 手法
手法 的
的 宝玉
宝玉 乐得
乐得 手舞足蹈
手舞足蹈 的
的 说
说 好
好 妹妹
妹妹 你
你 既
既 明琴理
明琴理 我们
我们 何不
何不 学
学 起来
起来 黛玉
黛玉 道
道 琴者
琴者 禁
禁 也
也 古人
古人 制下
制下 原以治身
原以治身 涵养
涵养 性情
性情 抑其
抑其 淫荡
淫荡 去
去 其
其 奢侈
奢侈 若要
若要 抚琴
抚琴 必择
必择 静室
静室 高斋
高斋 或
或 在
在 层楼
层楼 的
的 上头
上头 在
在 林石
林石 的
的 里面
里面 或是
或是 山巅
山巅 上
上 或是
或是 水涯
水涯 上
上 再
再 遇着
遇着 那天
那天 地清
地清 和
和 的
的 时候
时候 风清月朗
风清月朗 焚香
焚香 静坐
静坐 心
心 不外
不外 想
想 气
气 血
血 和平
和平 才能
才能 与
与 神合灵
神合灵 与
与 道
道 合妙
合妙 所以
所以 古人
古人 说
说 知音
知音 难遇
难遇 若无
若无 知音
知音 宁可
宁可 独
独 对着
对着 那
那 清风明月
清风明月 苍松
苍松 怪石
怪石 野猿
野猿 老鹤
老鹤 抚弄
抚弄 一番
一番 以
以 寄
寄 兴趣
兴趣 方
方 为
为 不负
不负 了
了 这琴
这琴 还有
还有 一
一 层
层 又
又 要
要 指法
指法 好
好 取音
取音 好
好 若
若 必要
必要 抚琴
抚琴 先须
先须 衣冠
衣冠 整齐
整齐 或鹤氅
或鹤氅 或
或 深衣
深衣 要
要 如
如 古人
古人 的
的 象表
象表 那
那 才能
才能 称
称 圣人
圣人 之器
之器 然后
然后 盥
盥 了
了 手
手 焚上
焚上 香
香 方才
方才 将身
将身 就
就 在
在 榻
榻 边
边 把
把 琴
琴 放在
放在 案上
案上 坐在
坐在 第五
第五 徽
徽 的
的 地方
地方 儿
儿 对着
对着 自己
自己 的
的 当心
当心 两手
两手 方
方 从容
从容 抬起
抬起 这才
这才 心身
心身 俱正
俱正 还要
还要 知道
知道 轻重
轻重 疾徐
疾徐 卷舒
卷舒 自若
自若 体态
体态 尊重
尊重 方好
方好 宝玉
宝玉 道
道 我们
我们 学着
学着 玩
玩 若
若 这么
这么 讲
讲 究
究 起来
起来 那
那 就
就 难
难 了
了 两个
两个 人
人 正说
正说 着
着 只见
只见 紫鹃
紫鹃 进来
进来 看见
看见 宝玉
宝玉 笑
笑 说道
说道 宝二爷
宝二爷 今日
今日 这样
这样 高兴
高兴 宝玉
宝玉 笑道
笑道 听见
听见 妹妹
妹妹 讲究
讲究 的
的 叫人
叫人 顿开茅塞
顿开茅塞 所以
所以 越
越 听
听 越
越 爱
爱 听
听 紫鹃
紫鹃 道
道 不是
不是 这个
这个 高兴
高兴 说的
说的 是
是 二爷
二爷 到
到 我们
我们 这边
这边 来
来 的话
的话 宝玉
宝玉 道
道 先时
先时 妹妹
妹妹 身上
身上 不
不 舒服
舒服 我怕
我怕 闹
闹 的
的 他
他 烦
烦 再者
再者 我
我 又
又 上学
上学 因此
因此 显着
显着 就
就 疏远
疏远 了
了 似的
似的 紫鹃
紫鹃 不等
不等 说完
说完 便道
便道 姑娘
姑娘 也是
也是 才好
才好 二爷
二爷 既
既 这么
这么 说
说 坐坐
坐坐 也
也 该
该 让
让 姑娘
姑娘 歇歇
歇歇 儿
儿 了
了 别
别 叫
叫 姑娘
姑娘 只是
只是 讲究
讲究 劳神
劳神 了
了 宝玉
宝玉 笑道
笑道 可是
可是 我
我 只顾
只顾 爱
爱 听
听 也
也 就
就 忘了
忘了 妹妹
妹妹 劳神
劳神 了
了 黛玉
黛玉 笑道
笑道 说
说 这些
这些 倒
倒 也
也 开
开 心
心 也
也 没有
没有 什么
什么 劳神
劳神 的
的 只是
只是 怕
怕 我
我 只管
只管 说
说 你
你 只管
只管 不
不 懂
懂 呢
呢 宝玉
宝玉 道
道 横竖
横竖 慢慢
慢慢 的
的 自然
自然 明白
明白 了
了 说着
说着 便
便 站
站 起来
起来 道
道 当真
当真 的
的 妹妹
妹妹 歇歇
歇歇 儿
儿 罢
罢 明儿
明儿 我
我 告诉
告诉 三妹妹
三妹妹 和
和 四
四 妹妹
妹妹 去
去 叫
叫 他们
他们 都
都 学
学 起来
起来 让
让 我
我 听
听 黛玉
黛玉 笑道
笑道 你
你 也
也 太
太 受用
受用 了
了 即
即 如
如 大家
大家 学会
学会 了
了 抚
抚 起来
起来 你
你 不
不 懂
懂 可不是
可不是 对
对 黛玉
黛玉 说
说 到
到 那里
那里 想起
想起 心上
心上 的
的 事
事 便缩
便缩 住口
住口 不
不 肯往
肯往 下
下 说
说 了
了 宝玉
宝玉 便
便 笑
笑 着
着 道
道 只要
只要 你们
你们 能弹
能弹 我
我 便
便 爱
爱 听
听 也
也 不管
不管 牛
牛 不
不 牛
牛 的
的 了
了 黛玉
黛玉 红了脸
红了脸 一笑
一笑 紫鹃
紫鹃 雪雁
雪雁 也
也 都
都 笑
笑 了
了 于是
于是 走出
走出 门来
门来 只见
只见 秋纹
秋纹 带
带 着
着 小丫头
小丫头 捧着
捧着 一小
一小 盆
盆 兰花
兰花 来
来 说
说 太太
太太 那边
那边 有
有 人
人 送了
送了 四盆
四盆 兰花
兰花 来
来 因
因 里头
里头 有事
有事 没有
没有 空儿
空儿 玩
玩 他
他 叫
叫 给
给 二爷
二爷 一盆
一盆 林姑娘
林姑娘 一盆
一盆 黛玉
黛玉 看时
看时 却
却 有
有 几枝
几枝 双
双 朵儿
朵儿 的
的 心中
心中 忽然
忽然 一动
一动 也
也 不知
不知 是
是 喜
喜 是
是 悲
悲 便
便 呆呆
呆呆 的
的 呆
呆 看
看 那宝玉
那宝玉 此时
此时 却
却 一心
一心 只
只 在
在 琴
琴 上
上 便说
便说 妹妹
妹妹 有了
有了 兰花
兰花 就
就 可以
可以 做
做 猗兰操
猗兰操 了
了 黛
黛 玉
玉 听了
听了 心里
心里 反
反 不
不 舒服
舒服 回到
回到 房中
房中 看着
看着 花
花 想到
想到 草木
草木 当春
当春 花鲜
花鲜 叶茂
叶茂 想
想 我
我 年纪
年纪 尚小
尚小 便
便 像
像 三秋
三秋 蒲柳
蒲柳 若是
若是 果能
果能 随愿
随愿 或者
或者 渐渐
渐渐 的
的 好
好 来
来 不然
不然 只恐
只恐 似
似 那
那 花柳
花柳 残
残 春
春 怎禁
怎禁 得
得 风
风 催雨
催雨 送
送 想到
想到 那里
那里 不禁
不禁 又
又 滴下
滴下 泪来
泪来 紫鹃
紫鹃 在
在 旁
旁 看见
看见 这般光景
这般光景 却
却 想不出
想不出 原故
原故 来
来 方才
方才 宝玉
宝玉 在
在 这里
这里 那么
那么 高兴
高兴 如今
如今 好好
好好 的
的 看花
看花 怎么
怎么 又
又 伤起
伤起 心来
心来 正愁
正愁 着
着 没法儿
没法儿 劝解
劝解 只见
只见 宝钗
宝钗 那边
那边 打发
打发 人来
人来 未知
未知 何事
何事 下回分解
下回分解 本章
本章 完
